Delta z (mu m),Resolution
-0.43906,1.513671875
-0.41162,1.416015625
-0.38418,1.416015625
-0.35674,1.318359375
-0.3293,1.318359375
-0.30186,1.220703125
-0.27442,1.220703125
-0.24697,1.123046875
-0.21953,1.123046875
-0.19209,1.025390625
-0.16465,0.927734375
-0.13721,0.830078125
-0.10977,0.78125
-0.08232,0.732421875
-0.05488,0.634765625
-0.02744,0.634765625
0.0,0.537109375
0.02744,0.537109375
0.05488,0.537109375
0.08232,0.537109375
0.10977,0.537109375
0.13721,0.537109375
0.16465,0.634765625
0.19209,0.634765625
0.21953,0.732421875
0.24697,0.87890625
0.27442,1.025390625
0.30186,1.123046875
0.3293,1.220703125
0.35674,1.318359375
0.38418,1.416015625
0.41162,1.416015625
0.43906,1.513671875
